timestamp,STILL,TILTING,ON_FOOT,WALKING,IN_VEHICLE,ON_BICYCLE,UNDEFINED,RUNNING
1680892732947,99.0,,,,,,1.0,
1680892748924,99.0,,,,,,1.0,
1680892764076,99.0,,,,,,1.0,
1680892769985,99.0,,,,,,1.0,
1680892786925,99.0,,,,,,1.0,
1680892802885,99.0,,,,,,1.0,
1680892818033,99.0,,,,,,1.0,
1680892835900,99.0,,,,,,1.0,
1680892851079,99.0,,,,,,1.0,
1680892867909,99.0,,,,,,1.0,
1680892883904,99.0,,,,,,1.0,
1680892899884,99.0,,,,,,1.0,
1680892911051,99.0,,,,,,1.0,
1680892917883,99.0,,,,,,1.0,
1680892933880,99.0,,,,,,1.0,
1680892949912,99.0,,,,,,1.0,
1680892965061,99.0,,,,,,1.0,
1680892981886,99.0,,,,,,1.0,
1680892997878,99.0,,,,,,1.0,
1680893013891,99.0,,,,,,1.0,
1680893029088,99.0,,,,,,1.0,
1680893044276,99.0,,,,,,1.0,
1680893060889,99.0,,,,,,1.0,
1680893076882,99.0,,,,,,1.0,
1680893092057,99.0,,,,,,1.0,
1680893107310,48.0,,5.0,5.0,23.0,1.0,3.0,
1680893123909,99.0,,,,,,1.0,
1680893139896,99.0,,,,,,1.0,
1680893155892,99.0,,,,,,1.0,
1680893171983,99.0,,,,,,1.0,
1680894373066,100.0,,,,,,,
1680894393632,,100.0,,,,,,
1680894393686,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680894420895,100.0,,,,,,,
1680894437883,99.0,,,,,,1.0,
1680894454082,99.0,,,,,,1.0,
1680894469110,99.0,,,,,,1.0,
1680894485002,99.0,,,,,,1.0,
1680894501082,99.0,,,,,,1.0,
1680894517875,99.0,,,,,,1.0,
1680894533870,99.0,,,,,,1.0,
1680894549100,99.0,,,,,,1.0,
1680894564304,99.0,,,,,,1.0,
1680894579484,99.0,,,,,,1.0,
1680894594637,99.0,,,,,,1.0,
1680894609863,99.0,,,,,,1.0,
1680894625908,99.0,,,,,,1.0,
1680894641911,99.0,,,,,,1.0,
1680894657958,99.0,,,,,,1.0,
1680894673625,99.0,,,,,,1.0,
1680894689899,99.0,,,,,,1.0,
1680894705895,99.0,,,,,,1.0,
1680894722881,99.0,,,,,,1.0,
1680894734795,99.0,,,,,,1.0,
1680894749983,99.0,,,,,,1.0,
1680894766878,99.0,,,,,,1.0,
1680894781871,99.0,,,,,,1.0,
1680894797035,99.0,,,,,,1.0,
1680894813908,99.0,,,,,,1.0,
1680894829876,99.0,,,,,,1.0,
1680894845855,99.0,,,,,,1.0,
1680894861888,99.0,,,,,,1.0,
1680894877852,99.0,,,,,,1.0,
1680894894734,99.0,,,,,,1.0,
1680901040137,100.0,,,,,,,
1680908063595,100.0,,,,,,,
1680870965799,99.0,,,,,,1.0,
1680870981071,70.0,,7.0,7.0,15.0,1.0,1.0,
1680870986561,98.0,,,,1.0,,1.0,
1680870991849,98.0,,1.0,1.0,,,1.0,
1680870999084,97.0,,1.0,1.0,,,2.0,
1680871014906,97.0,,,,1.0,,2.0,
1680871030183,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680871045526,84.0,,9.0,9.0,3.0,,2.0,
1680871060799,96.0,,1.0,1.0,1.0,,1.0,
1680871076087,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680871086979,,100.0,,,,,,
1680871087020,27.0,,23.0,23.0,25.0,9.0,3.0,
1680871102198,,100.0,,,,,,
1680871102237,41.0,,27.0,27.0,15.0,7.0,2.0,1.0
1680871117505,75.0,,13.0,13.0,5.0,2.0,1.0,
1680871132804,98.0,,1.0,1.0,,,1.0,
1680871148083,72.0,,15.0,15.0,6.0,2.0,1.0,
1680871163320,51.0,,24.0,24.0,13.0,2.0,3.0,
1680871178536,53.0,,22.0,22.0,11.0,2.0,2.0,
1680871193799,96.0,,2.0,2.0,1.0,,1.0,
1680871209026,99.0,,,,,,1.0,
1680871224256,98.0,,1.0,1.0,,,1.0,
1680871239503,96.0,,,,2.0,,1.0,
1680871254711,98.0,,,,,,2.0,
1680871270009,88.0,,5.0,5.0,3.0,1.0,1.0,
