timestamp,STILL,IN_VEHICLE,UNDEFINED,TILTING,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680862090415,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680862107619,83.0,3.0,3.0,,9.0,9.0,1.0,
1680862138337,100.0,,,,,,,
1680862198297,,,,100.0,,,,
1680862198382,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681624043674,,,3.0,,94.0,94.0,2.0,1.0
1681624067675,,,,100.0,,,,
1681624067711,2.0,,1.0,,89.0,89.0,2.0,6.0
1681624084758,,,,100.0,,,,
1681624084788,2.0,2.0,2.0,,84.0,84.0,7.0,2.0
1681624101807,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681624118837,4.0,3.0,3.0,,87.0,87.0,2.0,
1681624351489,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681624369004,3.0,1.0,2.0,,86.0,86.0,2.0,5.0
1681624680953,99.0,,1.0,,,,,
1681624713652,2.0,,1.0,,93.0,93.0,2.0,2.0
1681624838227,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681624855394,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681624877463,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681624893507,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681624910702,,,,100.0,,,,
1681624910738,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681624927930,,,,100.0,,,,
1681624927993,2.0,,2.0,,93.0,93.0,1.0,2.0
1681624945153,2.0,1.0,1.0,,89.0,89.0,3.0,4.0
1681625083130,1.0,1.0,2.0,,90.0,90.0,2.0,4.0
1681625120754,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681625137962,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681625155146,2.0,1.0,2.0,,88.0,88.0,4.0,2.0
1681625172344,1.0,1.0,1.0,,96.0,96.0,1.0,
1681625189554,1.0,,1.0,,97.0,97.0,,1.0
1681625206757,1.0,,3.0,,96.0,96.0,,
1681625223906,,,,100.0,,,,
1681625223942,1.0,,2.0,,95.0,95.0,1.0,1.0
1681625241114,,,,100.0,,,,
1681625241154,2.0,1.0,2.0,,90.0,90.0,3.0,2.0
1681625261182,,,,100.0,,,,
1681625261204,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681625290102,,,2.0,,96.0,96.0,,2.0
1681625307301,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681625557133,,,,100.0,,,,
1681625557155,100.0,,,,,,,
1681625574338,,,,100.0,,,,
1681625574390,100.0,,,,,,,
1681625591589,99.0,,1.0,,,,,
1681625608775,99.0,,1.0,,,,,
1681625625948,99.0,,1.0,,,,,
1681625643136,99.0,,1.0,,,,,
1681625660328,99.0,,1.0,,,,,
1681625677513,99.0,,1.0,,,,,
1681625694692,99.0,,1.0,,,,,
1681625711880,99.0,,1.0,,,,,
1681625729072,99.0,,1.0,,,,,
1681625743964,99.0,,1.0,,,,,
1681625761024,100.0,,,,,,,
1681625778217,100.0,,,,,,,
1681625795395,99.0,,1.0,,,,,
1681625812583,99.0,,1.0,,,,,
