timestamp,TILTING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,STILL
1680873748044,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873753214,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873758359,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873763456,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873768529,,3.0,6.0,3.0,17.0,17.0,,68.0
1680873773646,,3.0,15.0,6.0,24.0,24.0,,48.0
1680873778757,,2.0,5.0,2.0,15.0,15.0,,73.0
1680873783872,,1.0,10.0,4.0,13.0,13.0,,64.0
1680873789022,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873794202,,2.0,6.0,1.0,9.0,9.0,,80.0
1680873799303,,1.0,1.0,,,,,98.0
1680873804406,,2.0,1.0,,1.0,1.0,,96.0
1680873809514,,2.0,1.0,,1.0,1.0,,96.0
1680873814656,,2.0,,,,,,98.0
1680873819770,,1.0,1.0,,1.0,1.0,,97.0
1680873824891,,2.0,1.0,,,,,97.0
1680873829994,,1.0,1.0,,,,,98.0
1680873835059,,,1.0,,1.0,1.0,,97.0
1680873840160,,1.0,5.0,1.0,4.0,4.0,,88.0
1680873857156,,2.0,18.0,13.0,27.0,27.0,,31.0
1680873874287,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680873891316,,2.0,,1.0,96.0,96.0,,1.0
1680873907530,,2.0,1.0,,96.0,96.0,,
1680873924518,,3.0,,,96.0,96.0,,1.0
1680873948993,,2.0,,1.0,96.0,96.0,1.0,
1680873963915,,3.0,,,95.0,95.0,1.0,1.0
1680873981010,,2.0,,1.0,93.0,93.0,4.0,
1680873998022,,2.0,1.0,3.0,87.0,87.0,5.0,2.0
1680874015028,,2.0,,1.0,92.0,92.0,2.0,3.0
1680874032039,,3.0,,,91.0,91.0,6.0,
1680874049028,,2.0,,1.0,95.0,95.0,2.0,
1680874065990,,3.0,,1.0,88.0,88.0,7.0,1.0
1680874082989,,3.0,,1.0,94.0,94.0,2.0,
1680874099972,,2.0,,,96.0,96.0,2.0,
1680874116931,,2.0,,1.0,95.0,95.0,2.0,
1680874133907,,2.0,,,94.0,94.0,4.0,
1680874146841,,2.0,,1.0,91.0,91.0,5.0,1.0
1680874163821,,1.0,,,92.0,92.0,3.0,4.0
1680874180804,,1.0,,1.0,93.0,93.0,2.0,3.0
1680874197775,,4.0,,1.0,90.0,90.0,5.0,
1680874214757,,2.0,,,91.0,91.0,2.0,5.0
1680874231778,,3.0,,1.0,91.0,91.0,5.0,
1680874248792,,2.0,,,95.0,95.0,3.0,
1680874265808,,3.0,,1.0,95.0,95.0,1.0,
1680874282790,,1.0,,1.0,96.0,96.0,1.0,1.0
1680874299801,,2.0,,1.0,96.0,96.0,1.0,
1680874316751,,3.0,,,96.0,96.0,1.0,
1680874329722,,2.0,,1.0,96.0,96.0,1.0,
1680874346705,,2.0,,1.0,96.0,96.0,1.0,
1680874364107,,3.0,,1.0,96.0,96.0,,
1680874387305,,1.0,,1.0,96.0,96.0,1.0,1.0
1680874404292,,2.0,,1.0,96.0,96.0,1.0,
1680874421269,,2.0,,1.0,96.0,96.0,1.0,
1680874438234,,2.0,,1.0,96.0,96.0,1.0,
1680874455209,,1.0,,1.0,96.0,96.0,2.0,
1680874472189,,2.0,,1.0,96.0,96.0,1.0,
1680874489173,,2.0,,2.0,95.0,95.0,1.0,
1680874506136,,2.0,,1.0,96.0,96.0,,1.0
1680874523120,,2.0,,,98.0,98.0,,
1680874540107,,2.0,,2.0,96.0,96.0,,
1680874560089,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680874577111,,1.0,1.0,,,,,98.0
1680874594067,,2.0,1.0,,1.0,1.0,,96.0
1680874611067,,1.0,1.0,,3.0,3.0,,94.0
1680874628063,,2.0,5.0,1.0,9.0,9.0,,79.0
1680874645070,,2.0,,,,,,98.0
1680874662049,,1.0,,,2.0,2.0,,97.0
1680874679040,,1.0,3.0,4.0,15.0,15.0,,75.0
1680874696052,,1.0,,,,,,99.0
1680874713055,,1.0,,,,,,99.0
1680874735047,,1.0,1.0,,1.0,1.0,,97.0
1680874752095,,1.0,,,,,,99.0
1680874769116,,1.0,,,,,,99.0
1680874790589,,1.0,,,,,,99.0
1680874810590,,1.0,,,,,,99.0
1680874827640,,1.0,1.0,,,,,98.0
1680874844661,,1.0,,,,,,99.0
1680874861680,,1.0,,,,,,99.0
1680874878768,,1.0,,,,,,99.0
1680874895820,,1.0,,,,,,99.0
1680874912826,,1.0,,,,,,99.0
1680874929821,,1.0,,,,,,99.0
1680874946854,,1.0,,,,,,99.0
1680874963880,,1.0,,,,,,99.0
1680874985880,,1.0,,,,,,99.0
1680875002897,,1.0,,,,,,99.0
1680875019919,,1.0,,,,,,99.0
1680875036947,,1.0,,,,,,99.0
1680875053978,,1.0,,,,,,99.0
1680875070995,,2.0,1.0,,1.0,1.0,,96.0
1680849014326,,,,,,,,100.0
1680834415132,,,,,,,,100.0
1680834415827,,,,,,,,100.0
1680834420271,,,,,,,,100.0
1680853796136,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680853815789,100.0,,,,,,,
1680853815828,,2.0,,,96.0,96.0,2.0,
1680853832818,,1.0,1.0,1.0,96.0,96.0,,
1680853848976,,2.0,,2.0,95.0,95.0,1.0,
1680853854020,,2.0,1.0,1.0,94.0,94.0,2.0,
1680853859078,,1.0,,,95.0,95.0,4.0,
1680853887595,,2.0,9.0,3.0,30.0,30.0,,50.0
1680853911391,,1.0,1.0,,1.0,1.0,,97.0
1680853928353,,,,,1.0,1.0,,99.0
1680853945348,,2.0,10.0,2.0,16.0,16.0,,67.0
1680853966294,100.0,,,,,,,
1680853966332,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680853983319,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680853998195,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854019831,,3.0,6.0,5.0,31.0,31.0,,53.0
1680854036804,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854053823,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854077189,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854094186,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854111154,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854128192,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854145182,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854162163,,2.0,18.0,6.0,27.0,27.0,1.0,41.0
1680854179148,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854196150,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854213142,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854230098,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854247075,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854260187,,1.0,15.0,2.0,13.0,13.0,,65.0
1680854277183,,1.0,7.0,1.0,9.0,9.0,,81.0
1680854459051,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854476159,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854493176,,3.0,10.0,4.0,26.0,26.0,,54.0
1680854510305,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854527477,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854544073,,2.0,88.0,,,,,6.0
1680854561159,,2.0,91.0,,,,,4.0
1680854572897,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854589913,,1.0,6.0,2.0,14.0,14.0,,75.0
1680854606995,,1.0,5.0,,8.0,8.0,,85.0
1680854624042,,2.0,21.0,2.0,14.0,14.0,,56.0
1680854641052,,1.0,24.0,3.0,21.0,21.0,,46.0
1680854658034,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854675169,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854691994,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854708957,,3.0,26.0,7.0,22.0,22.0,,33.0
1680854725957,,2.0,30.0,2.0,,,,65.0
1680854742962,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854755813,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854772831,100.0,,,,,,,
1680854772867,,2.0,82.0,9.0,,,,2.0
1680854789855,100.0,,,,,,,
1680854789877,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854806845,,1.0,27.0,13.0,5.0,5.0,,50.0
1680854823813,,2.0,20.0,8.0,,,,69.0
1680854840817,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854857803,,2.0,43.0,,2.0,2.0,,48.0
1680854874794,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854891751,,2.0,33.0,1.0,2.0,2.0,,58.0
1680854908722,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854925686,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854938707,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854955670,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854972650,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680854989641,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855006690,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855023711,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855040695,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855057670,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855074649,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855091641,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855108626,,1.0,91.0,,,,,1.0
1680855121616,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855138640,,2.0,11.0,4.0,35.0,35.0,,44.0
1680855155679,,2.0,22.0,1.0,25.0,25.0,,46.0
1680855172697,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855189668,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855206661,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855223905,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855225889,100.0,,,,,,,
1680855246322,,3.0,1.0,2.0,90.0,90.0,2.0,1.0
1680855251460,,2.0,1.0,4.0,90.0,90.0,1.0,1.0
1680855268450,,2.0,,1.0,96.0,96.0,1.0,
1680855285648,,1.0,,1.0,95.0,95.0,2.0,1.0
1680855302463,,2.0,,1.0,91.0,91.0,5.0,1.0
1680855319488,,3.0,,,95.0,95.0,2.0,
1680855342915,100.0,,,,,,,
1680855342967,,3.0,,1.0,92.0,92.0,4.0,
1680855360024,100.0,,,,,,,
1680855360069,,2.0,1.0,1.0,89.0,89.0,6.0,1.0
1680855377089,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855394158,,2.0,1.0,,7.0,7.0,,90.0
1680855411369,100.0,,,,,,,
