timestamp,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,TILTING
1680836940064,100.0,,,,,,,
1680836964355,100.0,,,,,,,
1680836988562,100.0,,,,,,,
1680837013103,100.0,,,,,,,
1680837037537,100.0,,,,,,,
1680837056477,100.0,,,,,,,
1680837080747,100.0,,,,,,,
1680837106059,100.0,,,,,,,
1680837131173,100.0,,,,,,,
1680837156038,100.0,,,,,,,
1680837181061,100.0,,,,,,,
1680837205277,100.0,,,,,,,
1680837230042,100.0,,,,,,,
1680837254252,100.0,,,,,,,
1680837278435,100.0,,,,,,,
1680837311568,67.0,2.0,14.0,3.0,8.0,8.0,,
1680837334891,100.0,,,,,,,
1680837359101,100.0,,,,,,,
1680837383347,100.0,,,,,,,
1680837529747,100.0,,,,,,,
1680838059589,100.0,,,,,,,
1680839717162,,,,,,,,100.0
1680839717191,,2.0,,1.0,96.0,96.0,1.0,
1680839750072,,,,,,,,100.0
1680839750108,49.0,2.0,23.0,2.0,8.0,8.0,,
1680839785663,52.0,2.0,18.0,1.0,9.0,9.0,,
1680839809831,99.0,1.0,,,,,,
1680839833992,100.0,,,,,,,
1680839859006,96.0,1.0,2.0,,,,,
1680839896413,50.0,2.0,20.0,1.0,8.0,8.0,,
1680839920597,97.0,1.0,1.0,,,,,
1680839954513,41.0,1.0,35.0,2.0,5.0,5.0,,
1680839978853,,,,,,,,100.0
1680839978911,100.0,,,,,,,
1680840003206,100.0,,,,,,,
1680840030091,100.0,,,,,,,
1680840054497,100.0,,,,,,,
1680840078813,100.0,,,,,,,
1680840103126,100.0,,,,,,,
1680840134110,100.0,,,,,,,
1680840158368,100.0,,,,,,,
1680840182647,100.0,,,,,,,
1680840206928,100.0,,,,,,,
1680840231252,100.0,,,,,,,
1680840255507,100.0,,,,,,,
1680840279772,100.0,,,,,,,
1680840304091,100.0,,,,,,,
1680840992201,,,,,,,,100.0
1680840992227,,1.0,,1.0,97.0,97.0,1.0,
1680841019270,,,,,,,,100.0
1680841019329,100.0,,,,,,,
