timestamp,TILTING,STILL,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,UNDEFINED,RUNNING
1680863234496,,79.0,2.0,13.0,13.0,4.0,1.0,
1680863242412,100.0,,,,,,,
1680863242412,100.0,,,,,,,
1680863242617,100.0,,,,,,,
1680863242617,100.0,,,,,,,
1680863242685,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680863242685,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680863295579,100.0,,,,,,,
1680863295579,100.0,,,,,,,
1680863295655,,1.0,1.0,92.0,92.0,1.0,3.0,1.0
1680863295655,,1.0,1.0,92.0,92.0,1.0,3.0,1.0
1680863327436,100.0,,,,,,,
1680863327436,100.0,,,,,,,
1680863327460,,33.0,16.0,30.0,30.0,5.0,1.0,1.0
1680863327460,,33.0,16.0,30.0,30.0,5.0,1.0,1.0
1680863342487,,67.0,2.0,19.0,19.0,8.0,3.0,
1680863342487,,67.0,2.0,19.0,19.0,8.0,3.0,
1680863357754,100.0,,,,,,,
1680863357754,100.0,,,,,,,
1680863357833,,67.0,10.0,7.0,7.0,6.0,2.0,
1680863357833,,67.0,10.0,7.0,7.0,6.0,2.0,
1680863371772,,66.0,8.0,14.0,14.0,6.0,3.0,
1680863371772,,66.0,8.0,14.0,14.0,6.0,3.0,
1680863387037,,96.0,2.0,1.0,1.0,,1.0,
1680863387037,,96.0,2.0,1.0,1.0,,1.0,
1680863402199,,98.0,1.0,,,,1.0,
1680863402199,,98.0,1.0,,,,1.0,
1680863417341,,97.0,1.0,1.0,1.0,,1.0,
1680863417341,,97.0,1.0,1.0,1.0,,1.0,
1680863432777,,96.0,1.0,1.0,1.0,,2.0,
1680863432777,,96.0,1.0,1.0,1.0,,2.0,
1680863448194,,75.0,9.0,11.0,11.0,1.0,2.0,
1680863448194,,75.0,9.0,11.0,11.0,1.0,2.0,
1680863462855,,96.0,2.0,,,,2.0,
1680863462855,,96.0,2.0,,,,2.0,
1680863478321,,99.0,,,,,1.0,
1680863478321,,99.0,,,,,1.0,
1680863493794,,97.0,1.0,,,,2.0,
1680863493794,,97.0,1.0,,,,2.0,
1680863509116,,98.0,1.0,,,,1.0,
1680863509116,,98.0,1.0,,,,1.0,
1680863524521,,79.0,11.0,4.0,4.0,,2.0,
1680863524521,,79.0,11.0,4.0,4.0,,2.0,
1680863541174,,86.0,3.0,7.0,7.0,1.0,2.0,
1680863541174,,86.0,3.0,7.0,7.0,1.0,2.0,
1680863555201,,100.0,,,,,,
1680863555201,,100.0,,,,,,
1680863570417,,100.0,,,,,,
1680863570417,,100.0,,,,,,
1680864688373,100.0,,,,,,,
1680864688373,100.0,,,,,,,
1680864688414,,98.0,,,,,2.0,
1680864688414,,98.0,,,,,2.0,
1680864723687,100.0,,,,,,,
1680864723687,100.0,,,,,,,
1680864723760,,99.0,,,,,1.0,
1680864723760,,99.0,,,,,1.0,
1680864749976,,100.0,,,,,,
1680864749976,,100.0,,,,,,
1680865829881,,100.0,,,,,,
1680865829881,,100.0,,,,,,
1680866909864,,100.0,,,,,,
1680867990827,100.0,,,,,,,
1680867990886,,100.0,,,,,,
1680868268061,,100.0,,,,,,
1680869345095,,100.0,,,,,,
1680870054600,,100.0,,,,,,
1680870055142,,100.0,,,,,,
1680870055157,,100.0,,,,,,
1680870212693,100.0,,,,,,,
1680870212833,,100.0,,,,,,
1680870320370,,100.0,,,,,,
