timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680874201419,,46.0,2.0,13.0,1.0,27.0,27.0,
1680874219213,,78.0,1.0,5.0,1.0,12.0,12.0,
1680874235534,,38.0,3.0,20.0,9.0,20.0,20.0,
1680874252549,100.0,,,,,,,
1680874252587,,59.0,2.0,9.0,3.0,22.0,22.0,
1680874269553,,54.0,2.0,13.0,5.0,21.0,21.0,
1680874283912,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874300920,,35.0,2.0,19.0,3.0,28.0,28.0,
1680874317911,,72.0,1.0,9.0,2.0,10.0,10.0,
1680874334933,,82.0,1.0,4.0,1.0,9.0,9.0,
1680874351902,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874368918,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874385941,,51.0,1.0,16.0,2.0,24.0,24.0,
1680874402904,,93.0,2.0,2.0,,3.0,3.0,
1680874419892,,83.0,1.0,6.0,,7.0,7.0,
1680874436919,,73.0,2.0,10.0,1.0,7.0,7.0,
1680874453909,,98.0,1.0,1.0,,,,
1680874470903,100.0,,,,,,,
1680874470934,,72.0,2.0,9.0,5.0,7.0,7.0,
1680874487905,,80.0,2.0,3.0,8.0,6.0,6.0,
1680874504984,100.0,,,,,,,
1680874505024,,57.0,1.0,8.0,9.0,17.0,17.0,
1680874521997,,44.0,1.0,24.0,2.0,20.0,20.0,
1680874538950,,96.0,2.0,1.0,,1.0,1.0,
1680874555926,,76.0,1.0,7.0,1.0,10.0,10.0,
1680874572907,,68.0,1.0,10.0,1.0,13.0,13.0,
1680874587678,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680874604672,,71.0,1.0,18.0,,4.0,4.0,
1680874621624,,98.0,2.0,,,,,
1680874638603,,49.0,2.0,13.0,7.0,18.0,18.0,
1680874655588,,44.0,2.0,14.0,4.0,25.0,25.0,
1680874672786,100.0,,,,,,,
1680874672794,,45.0,2.0,16.0,3.0,27.0,27.0,
1680874689612,,99.0,1.0,,,,,
1680874706643,,83.0,1.0,9.0,1.0,2.0,2.0,
1680874723669,,88.0,2.0,5.0,,1.0,1.0,
1680874742234,,99.0,1.0,,,,,
1680874759216,,98.0,1.0,1.0,,,,
1680874777239,100.0,,,,,,,
1680874777275,,80.0,2.0,9.0,,1.0,1.0,
1680874795222,,99.0,1.0,,,,,
1680874813231,,98.0,2.0,,,,,
1680874831227,,99.0,1.0,,,,,
1680874848677,100.0,,,,,,,
1680874848704,,98.0,1.0,1.0,,,,
1680874875251,,98.0,2.0,,,,,
1680874892274,,55.0,1.0,7.0,2.0,28.0,28.0,
1680874917455,,65.0,2.0,11.0,1.0,11.0,11.0,
1680874934449,100.0,,,,,,,
1680874934486,,97.0,3.0,,,,,
1680874951498,,98.0,1.0,1.0,,,,
1680874968500,100.0,,,,,,,
1680874968531,,98.0,1.0,1.0,,,,
1680874985496,,98.0,2.0,,,,,
1680875004275,,88.0,3.0,3.0,2.0,2.0,2.0,
1680875021285,100.0,,,,,,,
