timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680877375937,,99.0,,1.0,,,,
1680877393986,,97.0,1.0,2.0,,,,
1680877410964,,99.0,1.0,,,,,
1680877427948,,96.0,1.0,1.0,1.0,1.0,,
1680877444934,,99.0,1.0,,,,,
1680877461946,,79.0,1.0,8.0,4.0,4.0,1.0,
1680877478928,,97.0,1.0,1.0,1.0,1.0,,
1680877495928,,97.0,,2.0,1.0,1.0,,
1680877512924,,80.0,1.0,12.0,6.0,6.0,,
1680877529939,,85.0,2.0,10.0,3.0,3.0,,
1680877546941,,81.0,3.0,11.0,4.0,4.0,,
1680877563937,,54.0,2.0,22.0,18.0,18.0,1.0,
1680877576898,,48.0,2.0,25.0,21.0,21.0,1.0,
1680877594034,100.0,,,,,,,
1680877594119,,54.0,2.0,22.0,14.0,14.0,2.0,
1680877611327,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877628528,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877645724,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877662928,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877680119,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877697118,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877714144,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877731172,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877748194,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877759990,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877777298,,4.0,1.0,84.0,4.0,4.0,,
1680877794501,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877828424,100.0,,,,,,,
1680877828493,,100.0,,,,,,
1680877845496,,97.0,1.0,1.0,,,,
1680877862487,,74.0,2.0,14.0,3.0,3.0,3.0,
1680877879484,,42.0,2.0,39.0,8.0,8.0,3.0,
1680877896474,,60.0,1.0,23.0,7.0,7.0,5.0,
1680877913463,,71.0,2.0,11.0,9.0,9.0,5.0,
1680877930458,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877942706,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877959703,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877976706,,58.0,1.0,22.0,12.0,12.0,5.0,
1680877993701,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680878010692,,86.0,3.0,7.0,4.0,4.0,,
1680878027671,,69.0,1.0,13.0,11.0,11.0,4.0,
1680878044659,,52.0,2.0,30.0,11.0,11.0,1.0,
1680878061685,,78.0,1.0,13.0,5.0,5.0,1.0,
1680878078675,,52.0,1.0,32.0,7.0,7.0,3.0,
1680878095665,,73.0,2.0,17.0,4.0,4.0,1.0,
1680878112632,,96.0,2.0,2.0,,,,
1680878125583,,97.0,1.0,1.0,1.0,1.0,,
1680878142610,100.0,,,,,,,
1680878142640,,74.0,2.0,11.0,4.0,4.0,,
1680878159638,,99.0,1.0,,,,,
1680878176634,100.0,,,,,,,
1680878176676,,97.0,2.0,1.0,,,,
1680878193675,,72.0,1.0,17.0,7.0,7.0,1.0,
1680878210648,,97.0,1.0,2.0,,,,
1680878227645,,72.0,1.0,27.0,,,,
1680878244638,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680878261636,,13.0,2.0,82.0,,,,
1680878278649,,77.0,2.0,17.0,3.0,3.0,,
1680878295649,,88.0,2.0,9.0,1.0,1.0,,
1680878308502,,64.0,1.0,31.0,2.0,2.0,1.0,
1680878325500,,84.0,1.0,15.0,,,,
1680878342519,,75.0,2.0,21.0,2.0,2.0,,
1680878359527,100.0,,,,,,,
1680878359584,,96.0,2.0,2.0,,,,
1680878376595,,99.0,1.0,,,,,
1680878393612,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680878411125,,60.0,2.0,17.0,5.0,5.0,,
1680878428124,,75.0,2.0,18.0,1.0,1.0,,
1680878445147,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680878462162,,97.0,1.0,2.0,,,,
1680878479198,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680878491462,,44.0,1.0,24.0,19.0,19.0,1.0,
1680878508471,100.0,,,,,,,
1680878508518,,36.0,2.0,21.0,25.0,25.0,3.0,1.0
1680878525543,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680878542529,,76.0,2.0,14.0,5.0,5.0,1.0,
1680878559521,,85.0,2.0,10.0,3.0,3.0,,
1680878576556,,97.0,1.0,1.0,1.0,1.0,,
1680878593583,,85.0,2.0,4.0,8.0,8.0,1.0,
1680878610578,,97.0,1.0,1.0,1.0,1.0,,
1680878627588,,96.0,2.0,1.0,1.0,1.0,,
1680878644616,,70.0,2.0,18.0,8.0,8.0,1.0,
1680878661639,,84.0,1.0,15.0,,,,
1680878674302,,54.0,1.0,38.0,5.0,5.0,1.0,
1680878691373,,39.0,1.0,32.0,17.0,17.0,6.0,
1680878708407,,35.0,2.0,31.0,21.0,21.0,4.0,
1680878725402,,97.0,1.0,1.0,1.0,1.0,,
1680878742415,,98.0,1.0,,1.0,1.0,,
1680878759579,,89.0,2.0,4.0,5.0,5.0,,
1680878776753,,96.0,1.0,1.0,2.0,2.0,,
1680878793959,,61.0,2.0,13.0,21.0,21.0,1.0,
1680878811153,,93.0,1.0,2.0,3.0,3.0,1.0,
1680878828344,,42.0,3.0,19.0,22.0,22.0,8.0,
1680878845532,,57.0,2.0,14.0,19.0,19.0,4.0,
1680878857395,,96.0,1.0,2.0,1.0,1.0,,
1680878874623,,99.0,1.0,,,,,
1680878891881,,97.0,1.0,1.0,1.0,1.0,,
1680878909067,,97.0,1.0,1.0,1.0,1.0,,
1680878926251,,85.0,1.0,3.0,8.0,8.0,3.0,
1680878943251,,100.0,,,,,,
1680878961295,,82.0,1.0,8.0,4.0,4.0,2.0,
1680878978331,,33.0,1.0,16.0,19.0,19.0,18.0,1.0
1680878995330,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680879012339,100.0,,,,,,,
1680879012423,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680879029441,100.0,,,,,,,
1680879029482,,43.0,2.0,14.0,26.0,26.0,8.0,
1680879046495,,71.0,1.0,15.0,8.0,8.0,1.0,
